title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday
007스펙터,2015-11-11,1,1820728,1,영국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,"액션,어드벤처,범죄,스릴러",샘멘데스,"다니엘크레이그,레아세이두,크리스토프왈츠,모니카벨루치",2015-12-17,37,목요일,0
300제국의부활,2014-03-06,102,1593116,14,미국,워너브러더스코리아(주),청소년관람불가,"액션,드라마,전쟁",노암머로,"레나헤디,에바그린,설리반스탭플턴,로드리고산토로",2014-04-09,35,수요일,0
50가지그림자심연,2017-02-09,3,189599,1,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,"드라마,멜로/로맨스",제임스폴리,"제이미도넌,다코타존슨",2017-03-20,40,월요일,0
5일의마중,2014-10-08,304,50775,8,중국,찬란,전체관람가,"멜로/로맨스,드라마",장예모,"공리,진도명",2014-11-16,40,일요일,1
가디언즈오브갤럭시,2014-07-31,502,1309671,7,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",제임스건,"크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼",2014-09-08,40,월요일,1
가디언즈오브갤럭시VOL.2,2017-05-03,169,2734944,4,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,"액션,SF",제임스건,"크리스프랫,조샐다나,데이브바티스타,빈디젤,브래들리쿠퍼",2017-06-11,40,일요일,1
가려진시간,2016-11-16,150,510728,5,한국,(주)쇼박스,12세이상관람가,"드라마,판타지",엄태화,"강동원,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김동현,김예지,이영상,조슬예,고민우",2016-12-25,40,일요일,1
간신,2015-05-21,426,1110071,30,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화",2015-06-24,35,수요일,0
감바의대모험,2016-11-10,24,117248,1,일본,(주)영화사빅,전체관람가,"애니메이션,어드벤처","카와무라토모히로,코모리요시히로",NA,2016-12-18,39,일요일,1
갓오브이집트,2016-03-03,3,919834,1,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트",12세이상관람가,"어드벤처,판타지",알렉스프로야스,"제라드버틀러,니콜라이코스터왈도,코트니이튼,브렌튼스웨이츠,애비리",2016-04-06,35,수요일,0
강남1970,2015-01-21,163,2188679,3,한국,(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호",2015-03-01,40,일요일,1
개구리왕국,2015-11-12,192,53438,3,중국,예지림엔터테인먼트,전체관람가,"애니메이션,어드벤처",넬슨신,NA,2015-12-21,40,월요일,0
개를훔치는완벽한방법,2014-12-31,1084,254618,24,한국,"(주)리틀빅픽쳐스,(주)대명문화공장",전체관람가,"드라마,가족",김성호,"김혜자,이레,최민수,강혜정,이천희,김솔,김원중,김도엽,박성규,이지원,정택호,김재화,홍은택,이기영,류선영,조은지",2015-02-08,40,일요일,1
거울나라의앨리스,2016-09-07,50,512702,5,미국,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,가족,판타지",제임스보빈,"조니뎁,앤해서웨이,미아와시코브스카,헬레나본햄카터,사챠바론코헨,알란릭맨,마이클쉰,앤드류스캇",2016-10-16,40,일요일,1
걷기왕,2016-10-20,12,93478,2,한국,CGV아트하우스,12세이상관람가,드라마,백승화,"심은경,박주희,김새벽,허정도,윤지원,안승균,김광규,김정영,이재진,이준용,박민준,장현진,방범석,정규환,오은비,조주형,이규진,이동혁,이수아,최봉석,최효주,황수진,김신동",2016-11-27,39,일요일,1
검사외전,2016-02-03,3680,9699031,112,한국,(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준",2016-03-13,40,일요일,1
검은사제들,2015-11-05,16494,5407767,379,한국,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철",2015-12-14,40,월요일,0
겟아웃,2017-05-17,851,2127261,9,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던필레,"다니엘칼루야,앨리슨윌리암스,브래들리휘트포드,캐서린키너",2017-06-25,40,일요일,1
겨울왕국,2014-01-16,50465,9675656,493,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","크리스벅,제니퍼리","이디나멘젤,크리스틴벨,조나단그로프,조시게드",2014-02-24,40,월요일,0
경주,2014-06-12,74,62586,5,한국,(주)인벤트스톤,15세이상관람가,"드라마,코미디,멜로/로맨스",장률,"박해일,신민아,김태훈,신소율,이춘연,이학민,박재웅,박재희,박진홍,임상묵,임진욱,신민아,양희망,오류미,오세현,유병옥,윤상일,조현정,고유희,윤진서,이관훈,이기연,최근우,권병수,홍성은,홍수영,이은우,이준동,김솔,김여정,김정우,김주현,김주현,김초혜,김태희,나경찬,김수안,최배영,김학선",2014-07-21,40,월요일,0
계춘할망,2016-05-19,50,478870,1,한국,(주)콘텐츠난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안지혜,이상화,이슬비,이윤혁",2016-06-25,38,토요일,1
고녀석맛나겠다2함께라서행복해,2015-07-29,162,54130,4,한국,(주)리틀빅픽쳐스,전체관람가,"애니메이션,가족,어드벤처","최경석,노나카카즈미","엄상현,시영준,안장혁,정주원,안효민,이경태,이경태",2015-09-06,40,일요일,1
