title,eightdays_aud,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,documentary,horror,family,war,etc,series,holiday,aud_18,korea,usa,actors,director,distributor_value,expect,comp_before,comp_after,first_screen
"무현,두도시이야기",29866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3817,1,2,31
마담프루스트의비밀정원,30061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,569,2,1,36
유스,32158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,827,1,6,65
태풍이지나가고,35530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,745,0,3,41
파리로가는길,38162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,394,2,2,79
지금은맞고그때는틀리다,37313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11,0,2,945,0,7,53
본투비블루,38764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,851,0,3,138
러덜리스,38992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,351,0,6,117
너와100번째사랑,43239,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3272,1,3,114
위아영,42659,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,548,0,2,234
오두막,44456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,727,0,4,382
최악의하루,45779,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1204,2,4,196
극장판파워레인저닌자포스VS트레인포스닌자인원더랜드,44738,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,436,1,4,219
트럼보,45189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1405,0,7,299
포레스트죽음의숲,48128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1031,2,2,282
아메리칸셰프,48373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1802,1,4,81
이웃집에신이산다,53368,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1568,2,4,59
대니콜린스,51587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,764,7,1,294
경주,49128,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1465,1,4,316
더비지트,49747,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1089,0,2,275
나이트크롤러,49928,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,895,0,5,225
지랄발광17세,52471,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,858,1,3,81
프리덤,52044,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,786,1,4,96
파도가지나간자리,55475,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,660,0,1,228
드래곤블레이드,50608,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,603,0,4,254
부활,55225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1226,0,2,90
그물,51913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,2,1501,1,1,374
드레스메이커,52733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1191,0,7,173
"서서평,천천히평온하게",55887,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1053,2,5,164
잡아야산다,53233,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,5748,1,6,198
