title,aud_total,holiday,drama,comedy,advanture,criminal.thrill,documentary,horror,family,etc,series,aud_18,director,distributor_value,expect,positive,comp_3,first_day_aud,screen
트럼보,50396,0,1,0,0,0,0,0,0,0,0,0,0,0,1405,0.966101695,7,17920,591
포레스트죽음의숲,50460,0,0,0,0,0,0,1,0,0,0,0,0,1,1031,0.388059701,2,10107,569
유스,50690,0,1,0,0,0,0,0,0,0,0,0,0,0,827,0.951566952,6,8727,129
더비지트,52197,0,0,0,0,1,0,1,0,0,0,0,0,1,1089,0.666666667,2,16466,553
드래곤블레이드,52867,0,0,0,1,0,0,0,0,0,0,0,1,3,603,0.916666667,4,15410,511
지금은맞고그때는틀리다,53086,1,1,0,0,0,0,0,0,0,0,1,0,2,945,0.952464789,7,10455,109
오두막,53780,0,1,0,0,0,0,0,0,0,0,0,0,0,727,0.967065868,4,13209,778
대니콜린스,53903,0,1,0,0,0,0,0,0,0,0,0,0,0,764,0.99009901,1,17576,598
위아영,54084,0,1,1,0,0,0,0,0,0,0,0,0,0,548,0.907692308,2,13654,469
나이트크롤러,54620,0,1,0,0,1,0,0,0,0,0,1,0,0,895,0.955223881,5,17783,458
파라노말액티비티더고스트디멘션,54750,0,0,0,0,1,0,1,0,0,1,0,0,0,927,0.75,3,21724,656
잡아야산다,54951,0,0,1,0,0,0,0,0,0,0,0,0,0,5748,0.857142857,6,19524,417
그물,55239,0,1,0,0,0,0,0,0,0,0,0,0,2,1501,0.818181818,1,16122,755
러덜리스,55402,0,1,1,0,0,0,0,0,0,0,0,0,0,351,0.964705882,6,12198,229
드레스메이커,55729,0,1,0,0,0,0,0,0,0,0,0,0,0,1191,0.942307692,7,18977,349
태풍이지나가고,56150,0,1,0,0,0,0,0,0,0,0,0,0,0,745,0.984575835,3,5995,111
본투비블루,56587,0,1,0,0,0,0,0,0,0,0,1,0,0,851,0.9943101,3,13329,271
더보이,56660,0,0,0,0,1,0,1,0,0,0,0,0,0,3258,0.958333333,4,9744,348
경주,57297,0,1,1,0,0,0,0,0,0,0,0,0,0,1465,0.765625,4,19957,632
더퍼지거리의반란,59422,1,0,0,0,1,0,1,0,0,0,1,0,1,683,0.779661017,3,26148,401
두남자,60015,0,0,0,0,1,0,0,0,0,0,1,0,0,2504,0.909090909,3,25553,772
마담프루스트의비밀정원,60023,0,1,0,0,0,0,0,0,0,0,0,0,0,569,0.98089172,1,5934,74
주온더파이널,60589,0,0,0,0,0,0,1,0,0,1,0,0,1,780,0.611111111,1,21224,635
파더앤도터,60631,0,1,0,0,0,0,0,0,0,0,0,0,0,1924,0.887700535,5,27444,703
극장판파워레인저닌자포스VS트레인포스닌자인원더랜드,61532,0,0,0,0,0,0,0,0,0,0,0,0,2,436,0.994382022,4,4600,455
최악의하루,62221,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0.981549815,4,14707,395
기생수파트2,63460,0,0,0,0,1,0,0,0,0,1,1,0,0,2400,0.833333333,2,18578,511
히트맨에이전트47,64087,0,0,0,0,1,0,0,0,0,0,0,0,2,1045,0.827067669,4,18658,532
스티브잡스,64985,0,1,0,0,0,0,0,0,0,0,0,0,1,1606,0.851351351,4,18752,765
번개맨,65375,0,0,0,0,0,0,0,1,0,0,0,1,0,998,0.62745098,7,12498,697
다크플레이스,65413,0,1,0,0,1,0,0,0,0,0,1,0,0,1113,0.891891892,2,18513,510
파리로가는길,66754,0,1,0,0,0,0,0,0,0,0,0,0,0,394,0.857142857,2,9329,158
올레,66865,0,1,1,0,0,0,0,0,0,0,0,0,0,1641,0.926829268,4,25680,668
세상에서고양이가사라진다면,67760,0,1,0,0,0,0,0,0,0,0,0,0,0,1221,0.979166667,3,15244,295
이퀄스,67889,0,1,0,0,0,0,0,0,0,0,0,0,0,2046,0.8125,1,23612,703
어카운턴트,69461,0,0,0,0,1,0,0,0,0,0,0,0,2,609,0.935483871,4,19907,730
어거스트가족의초상,69619,0,1,0,0,0,0,0,0,0,0,0,0,0,634,0.964285714,2,19650,485
매직인더문라이트,69715,0,1,1,0,0,0,0,0,0,0,0,0,0,1000,0.862745098,4,20814,372
선생님의일기,70061,0,1,0,0,0,0,0,0,0,0,0,0,0,566,1,2,20390,291
너와100번째사랑,70574,0,1,0,0,0,0,0,0,0,0,0,0,0,3272,0.953020134,3,12607,233
아메리칸셰프,70629,0,0,1,0,0,0,0,0,0,0,0,0,0,1802,0.991891892,4,9097,179
더서클,70953,0,1,0,0,0,0,0,0,0,0,0,0,0,1208,0.836363636,3,21343,315
언더월드블러드워,72023,0,0,0,0,0,0,0,0,0,0,0,0,1,1409,0.823529412,3,23662,350
파워레인져스더비기닝,72399,0,0,0,1,0,0,0,0,0,0,0,0,2,1391,0.87804878,4,23574,876
엽기적인그녀2,72420,0,0,1,0,0,0,0,0,0,1,0,0,0,9148,0.5,3,32105,766
파도가지나간자리,72481,0,1,0,0,0,0,0,0,0,0,0,0,0,660,0.978571429,1,10450,494
위자,72496,0,0,0,0,1,0,1,0,0,0,0,0,1,879,0.810077519,1,21160,646
패트리어트데이,74250,0,1,0,0,1,0,0,0,0,0,0,0,0,778,0.973262032,2,31538,745
오베라는남자,74290,0,1,0,0,0,0,0,0,0,0,0,0,0,1759,0.987525988,1,18046,457
프리덤,74371,0,1,0,0,0,0,0,1,0,0,0,0,0,786,0.9,4,18137,213
피치퍼펙트언프리티걸즈,74715,0,0,1,0,0,0,0,0,1,0,0,0,1,3246,0.888888889,1,23092,569
엑스마키나,75463,0,0,0,0,1,0,0,0,0,0,1,0,1,1073,0.788461538,4,17707,401
모데카이,75547,1,0,1,0,0,0,0,0,0,0,0,0,0,1023,0.919354839,1,32208,553
"서서평,천천히평온하게",75586,0,0,0,0,0,1,0,0,0,0,0,0,0,1053,0.989795918,5,12227,361
아더우먼,76593,0,0,1,0,0,0,0,0,0,0,0,0,2,829,0.5,1,28514,660
쓰리썸머나잇,76618,0,0,1,0,0,0,0,0,0,0,1,1,0,2529,0.833333333,2,26028,591
지랄발광17세,76740,0,1,1,0,0,0,0,0,0,0,0,0,0,858,0.923076923,3,13363,154
페이스오브러브,76968,0,1,0,0,0,0,0,0,0,0,0,0,0,364,0.987421384,3,17448,421
로스트인더스트,77688,0,1,0,0,1,0,0,0,0,0,0,0,0,298,0.922413793,4,20404,691
오마이그랜파,77782,0,0,1,0,0,0,0,0,0,0,1,0,0,490,0.948717949,2,26648,762
터널3D,78324,0,0,0,0,1,0,1,0,0,0,0,0,0,2869,0.740740741,4,31859,519
더테이블,78352,0,1,0,0,0,0,0,0,0,0,0,0,0,3207,0.931034483,2,16769,525
룸,78643,0,1,0,0,0,0,0,0,0,0,0,0,0,1541,0.994011976,2,25972,639
사일런스,78685,0,1,0,0,0,0,0,0,0,0,0,0,0,1365,0.988950276,3,21977,642
분신사바2,78794,0,0,0,0,1,0,1,0,0,1,0,0,0,976,0.535353535,2,18006,430
원챈스,78816,0,1,1,0,0,0,0,0,0,0,0,0,2,12,0.843137255,2,22650,607
이웃집에신이산다,80522,0,0,1,0,0,0,0,0,0,0,1,0,0,1568,0.725085911,4,14944,120
타임패러독스,81347,0,0,0,0,1,0,0,0,0,0,0,0,0,1321,0.835294118,4,21963,457
